"","orig.ident","nCount_RNA","nFeature_RNA","cell_id","donor","level","Xenium_id","RNA_snn_res.2.5","seurat_clusters","cell_type","cell_type_manual","large_group"
"Neuron199","pbmc3k",5367,62,"10255-09718","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron200","pbmc3k",3761,57,"10134-10064","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron201","pbmc3k",11893,77,"09765-10116","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","10","10","hPEP.NTRK3","hPEP.NTRK3","PEP"
"Neuron202","pbmc3k",4239,69,"09712-10463","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","15","15","hNP2","hNP2","NP"
"Neuron203","pbmc3k",5572,69,"10292-10490","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron204","pbmc3k",7201,72,"10558-10778","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","6","6","hAd.LTMR","hAd.LTMR","NF"
"Neuron205","pbmc3k",4066,59,"10835-10939","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","8","8","hAb.LTMR","hAb.LTMR","NF"
"Neuron206","pbmc3k",6128,68,"11247-11153","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron207","pbmc3k",5217,63,"11097-11516","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","12","12","hPropr","hPropr","NF"
"Neuron208","pbmc3k",1682,64,"12910-13517","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","7","7","hPEP.KIT","hPEP.KIT","PEP"
"Neuron209","pbmc3k",925,48,"13002-13605","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron210","pbmc3k",816,53,"12621-13614","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron211","pbmc3k",2262,68,"11945-13921","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","14","14","hPEP.0","hPEP.0","PEP"
"Neuron212","pbmc3k",5746,71,"11715-14084","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","2","2","hPEP.TRPV1/A1.1","hPEP.TRPV1/A1.1","PEP"
"Neuron213","pbmc3k",2243,68,"11568-13782","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
"Neuron214","pbmc3k",5370,70,"11574-13522","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","1","1","hPEP.TRPV1/A1.2","hPEP.TRPV1/A1.2","PEP"
"Neuron215","pbmc3k",12820,78,"11160-13822","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","4","4","hPEP.PIEZOh","hPEP.PIEZOh","PEP"
"Neuron216","pbmc3k",1879,64,"11267-14037","N3","L3","output-XETG00171__0018220__Region_1__20240207__003742","3","3","hSST","hSST","NP"
